d_case_no,d_name,d_last_kno_addr,c_case_type,c_violation,c_violation_date,c_location,c_plea,c_plea_ent_by,c_status,c_so_no,c_deposit_amt,c_in_collection,c_installment_plan,j_finding,j_penalty,j_balance_due,j_date,j_due_on_date,j_branch
13000042,JOHNNIE MAE LLC,"3278 N HOLTON ST, MILWAUKEE, WI 53212",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2012-05-21 00:00:00.000000,1818 N 30 ST,No Contest,Defendant,Active,949659,0,No,No,Guilty,1280,1280,2013-05-16,2013-08-14,2
13000051,JGM INVESTMENTS LLC,"10335 Apt. 200 W OAKLAHOMA AVE, MILWAUKEE, WI 53227",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2012-03-30 00:00:00.000000,1960 S 7 ST,No Contest,Court,Active,939995,0,No,No,Guilty,2280,2280,2013-02-20,2013-04-22,A
13000052,TSE INVESTMENTS LLC,"2712 W ROOSEVELT DRV, MILWAUKEE, WI 53216",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2012-08-02 00:00:00.000000,5915 N 38 ST,No Contest,Lonnie Slocum,Closed,964225,0,No,No,Guilty,5000,0,2013-03-21,2013-08-28,3
13000066,IPALS DEVELOPMENT GROUP INC,"2876 N 36 ST, Milwaukee, WI 53210",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2012-01-26 00:00:00.000000,4613 N 39 ST,No Contest,Court,Active,927332,0,No,No,Guilty,3480,3480,2013-02-20,2013-04-22,A
13000067,BANK OF AMERICA,"16001 N DALLAS PKY, ADDISON, TX 75001",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2012-08-08 00:00:00.000000,3305 W CLYBOURN ST,No Contest,Court,Closed,965523,0,No,No,Guilty,10000,0,2013-03-06,2013-05-06,A
13001475,H & K PARTNERS LLC,"7840 W HICKS ST, MILWAUKEE, WI 53219",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2012-06-06 00:00:00.000000,5903 N 76 ST,No Contest,Defendant,Closed,952753,0,No,No,Guilty,550,0,2013-02-13,2013-05-14,A
13001476,PBR PROPERTIES LLC,"8577 S 68TH ST, FRANKLIN, WI 53132",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2012-04-04 00:00:00.000000,3169 N 42 ST,No Contest,DANIEL JARDON,Closed,941206,0,No,No,Guilty,400,0,2013-06-13,2013-08-13,3
13001477,JDM DEVELOPMENT LLC,"2743 N 24TH PL, MILWAUKEE, WI 53210",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2012-06-14 00:00:00.000000,2718 N 53 ST,No Contest,Court,Active,954939,0,No,No,Guilty,380,285,2013-02-20,2013-10-29,3
13001478,KJC PROPERTIES LLC,"6235 W LOCUST, Milwaukee, WI 53210",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2012-06-26 00:00:00.000000,5663 N 60 ST,No Contest,Court,Active,957325,0,No,No,Guilty,1430,1430,2013-02-20,2013-04-22,A
13001479,PPE REAL ESTATE LLC,"W255S4461 OAKDALE DRV, WAUKESHA, WI 53189",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2012-08-13 00:00:00.000000,918 W SOMERS ST,No Contest,Court,Active,966380,0,No,No,Guilty,630,630,2013-03-06,2013-05-06,A
13001480,POGALL LLC,"414 S 2ND ST, MILWAUKEE, WI 53204",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2012-05-24 00:00:00.000000,2463 N 21 ST,No Contest,Keith Alling,Closed,950591,0,No,No,Guilty,1480,0,2013-03-21,2013-06-19,3
13001487,RAMQUISTWITKOWIAK LLC,"529 W HISTORIC MITCHELL ST, MILWAUKEE, WI 53204",Municipal citation,"Ordinance 200-51.7-7, Fail to Provide Access for Inspection",2012-09-18 11:00:00.000000,827 S 5 ST,No Contest,Court,Active,NS09737401,429,No,No,Guilty,429,429,2013-02-21,2013-04-22,3
13001501,ROB DAVIDSON INVESTMENTS LLC,"N8820 PARKER RD, WHITE WATER, WI 53190",Municipal citation,"Ordinance 200-51.7-4-a, Registration Stmt Reqd - Vacant Building",2012-12-05 09:45:00.000000,6884 N 42 ST,No Contest,Court,Active,NS09893921,429,No,No,Guilty,429,429,2013-02-28,2013-04-29,1
13001515,FIRST PROPERTY DEVELOPMENT LLC,"2976 N MARTIN LUTHER KING DRV, MILWAUKEE, WI 53212",Municipal citation,"Ordinance 66-22-1-a, Create/Knowing Allow Lead-Based Nuisance",2012-11-29 22:00:00.000000,1621 N 37TH ST,No Contest,Elijah Rashae,Active,61235646,750,No,No,Guilty,280,280,2013-06-27,2013-08-26,2
13003669,MEF PLUS 4 LLC,"5525 N 41ST ST, Milwaukee, WI 53209",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2012-03-26 00:00:00.000000,5801 N 39 ST,No Contest,Mary Fuller,Active,938615,0,No,No,Guilty,200,200,2013-04-18,2013-06-17,3
13004218,LISBON NORTH LLC,"7605 W GOOD HOPE RD, MILWAUKEE, WI 53223",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2012-05-02 00:00:00.000000,4719 W NORTH AVE,No Contest,Court,Closed,945992,0,No,No,Guilty,580,0,2013-03-07,2013-05-06,2
13004221,PREMIER HOLDINGS ONE LLC,"2491 S 10th ST, MILWAUKEE, WI 53215",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2012-07-25 00:00:00.000000,2313 W BROWN ST,No Contest,Court,Closed,962786,0,No,No,Guilty,2330,0,2013-02-20,2013-04-22,A
13004237,SEAWAY BANK AND TRUST COMPANY,"2102 W FOND DU LAC AVE, Milwaukee, WI 53206",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2012-07-06 00:00:00.000000,6604 W SILVER SPRING DRV,No Contest,Court,Closed,958918,0,No,No,Guilty,980,0,2013-02-28,2013-04-29,1
13004238,2705 BRADFORD LLC,"2575 N BARTLETT AVE, MILWAUKEE, WI 53211",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2012-01-25 00:00:00.000000,5862 N 64 ST,No Contest,Court,Active,926803,0,No,No,Guilty,980,980,2013-02-28,2013-04-29,1
13004761,MB #1 LLC,"4650 S 43 ST, GREENFIELD, WI 53220",Summons & Complaint,"Ordinance 200 through 295, Building Code Violations",2012-01-05 00:00:00.000000,812 S 11 ST,No Contest,Defendant,Active,923777,0,No,No,Guilty,4110,4110,2013-04-18,2013-06-17,3
